seed,policy,route_minutes,time_total,life_total,units_delivered,avg_minutes_per_unit,score_alpha,score_beta,weighted_score,deliveries,route
15,NearestNeighborPolicy,27,107,3815991.6427833857,570,6694.722180321729,1.0,0.001,-3708.991642783386,10,"[0, 9, 5, 4, 2, 10, 7, 1, 3, 6, 8, 0]"
15,TwoOptPolicy,27,107,3815991.636402581,570,6694.722169127335,1.0,0.001,-3708.9916364025808,10,"[0, 9, 5, 4, 2, 10, 7, 1, 3, 6, 8, 0]"
15,ORToolsTSPPolicy,25,105,3815991.5092986347,570,6694.7219461379555,1.0,0.001,-3710.991509298635,10,"[0, 6, 8, 10, 2, 7, 3, 1, 4, 9, 5, 0]"
16,NearestNeighborPolicy,35,115,3815991.682397767,570,6694.722249820644,1.0,0.001,-3700.991682397767,10,"[0, 1, 2, 6, 5, 4, 3, 8, 7, 9, 10, 0]"
16,TwoOptPolicy,35,115,3815991.7210395215,570,6694.722317613196,1.0,0.001,-3700.9917210395215,10,"[0, 1, 2, 6, 5, 4, 3, 8, 7, 9, 10, 0]"
16,ORToolsTSPPolicy,26,106,3815991.6686318484,570,6694.72222566991,1.0,0.001,-3709.9916686318484,10,"[0, 10, 8, 7, 9, 3, 4, 1, 2, 6, 5, 0]"
17,NearestNeighborPolicy,47,127,3815991.442006082,570,6694.721828080846,1.0,0.001,-3688.991442006082,10,"[0, 6, 4, 1, 3, 8, 9, 10, 5, 7, 2, 0]"
17,TwoOptPolicy,45,125,3815991.344072909,570,6694.7216562682615,1.0,0.001,-3690.991344072909,10,"[0, 6, 4, 1, 10, 9, 8, 3, 5, 7, 2, 0]"
17,ORToolsTSPPolicy,33,113,3815991.5361745614,570,6694.721993288704,1.0,0.001,-3702.9915361745616,10,"[0, 10, 9, 1, 8, 3, 2, 6, 4, 5, 7, 0]"
18,NearestNeighborPolicy,28,108,3815991.7942812573,570,6694.722446107469,1.0,0.001,-3707.991794281257,10,"[0, 3, 4, 5, 9, 2, 6, 1, 10, 7, 8, 0]"
18,TwoOptPolicy,28,108,3815991.854258558,570,6694.722551330803,1.0,0.001,-3707.991854258558,10,"[0, 3, 4, 5, 9, 2, 6, 1, 10, 7, 8, 0]"
18,ORToolsTSPPolicy,22,102,3815991.725986541,570,6694.722326292177,1.0,0.001,-3713.991725986541,10,"[0, 4, 7, 8, 10, 6, 1, 9, 2, 5, 3, 0]"
19,NearestNeighborPolicy,32,112,3815991.7666054615,570,6694.722397553442,1.0,0.001,-3703.9917666054616,10,"[0, 2, 8, 10, 4, 5, 6, 7, 9, 1, 3, 0]"
19,TwoOptPolicy,25,105,3815991.587170315,570,6694.722082754938,1.0,0.001,-3710.991587170315,10,"[0, 10, 7, 6, 4, 5, 9, 2, 8, 1, 3, 0]"
19,ORToolsTSPPolicy,22,102,3815991.711135434,570,6694.722300237603,1.0,0.001,-3713.991711135434,10,"[0, 2, 10, 7, 5, 6, 4, 9, 8, 1, 3, 0]"
20,NearestNeighborPolicy,36,116,3815991.4615293476,570,6694.721862332189,1.0,0.001,-3699.991461529348,10,"[0, 3, 5, 10, 8, 1, 2, 4, 6, 7, 9, 0]"
20,TwoOptPolicy,35,115,3815991.4934507543,570,6694.721918334657,1.0,0.001,-3700.991493450754,10,"[0, 3, 5, 10, 8, 4, 2, 1, 6, 7, 9, 0]"
20,ORToolsTSPPolicy,28,108,3815991.599569903,570,6694.722104508603,1.0,0.001,-3707.9915995699034,10,"[0, 7, 9, 5, 10, 8, 1, 4, 2, 6, 3, 0]"
21,NearestNeighborPolicy,34,114,3815991.679669914,570,6694.722245034936,1.0,0.001,-3701.991679669914,10,"[0, 2, 4, 10, 8, 5, 7, 9, 6, 3, 1, 0]"
21,TwoOptPolicy,34,114,3815991.5389533364,570,6694.721998163748,1.0,0.001,-3701.9915389533367,10,"[0, 2, 4, 10, 8, 5, 7, 9, 6, 3, 1, 0]"
21,ORToolsTSPPolicy,28,108,3815991.6306264363,570,6694.722158993748,1.0,0.001,-3707.9916306264363,10,"[0, 9, 6, 3, 1, 5, 7, 8, 4, 10, 2, 0]"
22,NearestNeighborPolicy,54,134,3815991.184308864,570,6694.721375980464,1.0,0.001,-3681.9911843088644,10,"[0, 1, 5, 6, 4, 9, 10, 8, 7, 2, 3, 0]"
22,TwoOptPolicy,45,125,3815991.158672677,570,6694.721331004696,1.0,0.001,-3690.991158672677,10,"[0, 1, 5, 2, 8, 7, 4, 9, 10, 6, 3, 0]"
22,ORToolsTSPPolicy,39,119,3815991.1017619185,570,6694.72123116126,1.0,0.001,-3696.991101761919,10,"[0, 10, 2, 8, 7, 5, 9, 1, 6, 4, 3, 0]"
23,NearestNeighborPolicy,41,121,3815991.4047355247,570,6694.721762693903,1.0,0.001,-3694.9914047355246,10,"[0, 3, 4, 10, 7, 5, 6, 8, 2, 9, 1, 0]"
23,TwoOptPolicy,40,120,3815991.394814719,570,6694.721745288981,1.0,0.001,-3695.991394814719,10,"[0, 3, 4, 10, 7, 2, 8, 6, 5, 9, 1, 0]"
23,ORToolsTSPPolicy,27,107,3815991.537264417,570,6694.721995200732,1.0,0.001,-3708.991537264417,10,"[0, 9, 1, 8, 2, 4, 10, 7, 5, 6, 3, 0]"
24,NearestNeighborPolicy,30,110,3815991.473939587,570,6694.721884104539,1.0,0.001,-3705.991473939587,10,"[0, 8, 10, 1, 6, 9, 7, 3, 4, 5, 2, 0]"
24,TwoOptPolicy,30,110,3815991.504275952,570,6694.7219373262315,1.0,0.001,-3705.991504275952,10,"[0, 8, 10, 1, 6, 9, 7, 3, 4, 5, 2, 0]"
24,ORToolsTSPPolicy,27,107,3815991.5319853327,570,6694.72198593918,1.0,0.001,-3708.9915319853326,10,"[0, 8, 10, 1, 6, 9, 7, 3, 5, 2, 4, 0]"
25,NearestNeighborPolicy,38,118,3815991.444498362,570,6694.721832453267,1.0,0.001,-3697.991444498362,10,"[0, 6, 5, 8, 3, 9, 2, 10, 4, 7, 1, 0]"
25,TwoOptPolicy,38,118,3815991.5737151215,570,6694.722059149336,1.0,0.001,-3697.9915737151214,10,"[0, 6, 5, 8, 3, 9, 2, 10, 4, 7, 1, 0]"
25,ORToolsTSPPolicy,28,108,3815991.671799881,570,6694.722231227861,1.0,0.001,-3707.991671799881,10,"[0, 6, 1, 4, 7, 5, 8, 3, 9, 2, 10, 0]"
26,NearestNeighborPolicy,37,117,3815991.5706344103,570,6694.722053744579,1.0,0.001,-3698.9915706344104,10,"[0, 5, 1, 4, 9, 10, 7, 8, 3, 2, 6, 0]"
26,TwoOptPolicy,34,114,3815991.72443756,570,6694.722323574667,1.0,0.001,-3701.99172443756,10,"[0, 5, 1, 4, 9, 10, 7, 2, 3, 8, 6, 0]"
26,ORToolsTSPPolicy,27,107,3815991.5318580996,570,6694.721985715964,1.0,0.001,-3708.9915318580997,10,"[0, 6, 5, 2, 3, 9, 10, 7, 8, 1, 4, 0]"
27,NearestNeighborPolicy,33,113,3815991.540314443,570,6694.722000551655,1.0,0.001,-3702.9915403144432,10,"[0, 4, 6, 2, 5, 8, 10, 1, 9, 3, 7, 0]"
27,TwoOptPolicy,33,113,3815991.526023432,570,6694.721975479705,1.0,0.001,-3702.991526023432,10,"[0, 4, 6, 2, 5, 8, 10, 1, 9, 3, 7, 0]"
27,ORToolsTSPPolicy,30,110,3815991.522743484,570,6694.72196972541,1.0,0.001,-3705.991522743484,10,"[0, 1, 10, 9, 6, 2, 5, 8, 4, 7, 3, 0]"
28,NearestNeighborPolicy,25,105,3815991.7727781683,570,6694.722408382751,1.0,0.001,-3710.9917727781685,10,"[0, 4, 2, 6, 1, 7, 3, 10, 8, 5, 9, 0]"
28,TwoOptPolicy,25,105,3815991.82384014,570,6694.722497965157,1.0,0.001,-3710.99182384014,10,"[0, 4, 2, 6, 1, 7, 3, 10, 8, 5, 9, 0]"
28,ORToolsTSPPolicy,25,105,3815991.7232954255,570,6694.722321570922,1.0,0.001,-3710.991723295426,10,"[0, 4, 2, 6, 1, 7, 3, 10, 8, 9, 5, 0]"
29,NearestNeighborPolicy,37,117,3815991.6532182572,570,6694.722198628521,1.0,0.001,-3698.9916532182574,10,"[0, 1, 3, 2, 9, 8, 5, 6, 10, 4, 7, 0]"
29,TwoOptPolicy,37,117,3815991.571953389,570,6694.7220560585765,1.0,0.001,-3698.9915719533888,10,"[0, 1, 3, 2, 9, 8, 5, 6, 10, 4, 7, 0]"
29,ORToolsTSPPolicy,26,106,3815991.4522365755,570,6694.72184602908,1.0,0.001,-3709.9914522365757,10,"[0, 6, 5, 10, 4, 8, 9, 2, 7, 3, 1, 0]"
30,NearestNeighborPolicy,42,122,3815991.4868848613,570,6694.721906815546,1.0,0.001,-3693.9914868848614,10,"[0, 1, 3, 7, 2, 4, 5, 10, 6, 9, 8, 0]"
30,TwoOptPolicy,42,122,3815991.461634576,570,6694.7218625168,1.0,0.001,-3693.991461634576,10,"[0, 1, 3, 7, 2, 4, 5, 10, 6, 9, 8, 0]"
30,ORToolsTSPPolicy,34,114,3815991.451678657,570,6694.721845050275,1.0,0.001,-3701.991451678657,10,"[0, 9, 5, 10, 6, 8, 2, 3, 7, 4, 1, 0]"
31,NearestNeighborPolicy,42,122,3815991.599261813,570,6694.722103968093,1.0,0.001,-3693.991599261813,10,"[0, 7, 8, 4, 2, 3, 9, 1, 10, 6, 5, 0]"
31,TwoOptPolicy,37,117,3815991.6597053222,570,6694.722210009338,1.0,0.001,-3698.9916597053225,10,"[0, 7, 8, 4, 2, 10, 1, 9, 3, 6, 5, 0]"
31,ORToolsTSPPolicy,25,105,3815991.4657323807,570,6694.721869705932,1.0,0.001,-3710.9914657323807,10,"[0, 1, 3, 9, 6, 10, 7, 8, 4, 5, 2, 0]"
32,NearestNeighborPolicy,42,122,3815991.405121749,570,6694.721763371489,1.0,0.001,-3693.991405121749,10,"[0, 2, 3, 6, 10, 5, 1, 4, 8, 7, 9, 0]"
32,TwoOptPolicy,42,122,3815991.371906936,570,6694.721705099888,1.0,0.001,-3693.9913719069364,10,"[0, 2, 3, 6, 10, 5, 1, 4, 8, 7, 9, 0]"
32,ORToolsTSPPolicy,36,116,3815991.1597555787,570,6694.721332904524,1.0,0.001,-3699.991159755579,10,"[0, 8, 7, 1, 4, 9, 2, 6, 10, 5, 3, 0]"
33,NearestNeighborPolicy,25,105,3815991.78601618,570,6694.722431607333,1.0,0.001,-3710.9917860161804,10,"[0, 7, 5, 1, 3, 6, 9, 10, 2, 4, 8, 0]"
